Path,Type,Purpose,Dependencies,Status,LOC,Priority
src/components/ui/MarketOverview.tsx,Component,Market summary dashboard,"Market data service",Healthy,Unknown,Medium
src/components/ui/MLPredictions.tsx,Component,ML prediction results,"Prediction services",Healthy,Unknown,Medium
src/components/ui/RiskManagement.tsx,Component,Risk control interface,"Risk calculations",Healthy,Unknown,Medium
src/components/ui/AutoTradingStrategies.tsx,Component,Automated trading logic,"Strategy algorithms",Healthy,Unknown,Low
src/components/ui/AdvancedAnalytics.tsx,Component,Advanced analytics dashboard,"Data visualization",Healthy,Unknown,Low
src/components/ui/WeightedPriceForecast.tsx,Component,Price forecasting widget,"ML predictions",Healthy,Unknown,Medium
src/components/ui/ErrorBoundary.tsx,Component,Error handling boundary,"React error boundaries",Healthy,Unknown,High
src/components/ui/RSIIndicator.tsx,Component,RSI technical indicator,"Technical calculations",Healthy,Unknown,Low
src/components/ui/MACDIndicator.tsx,Component,MACD technical indicator,"Technical calculations",Healthy,Unknown,Low
src/components/ui/MovingAveragesIndicator.tsx,Component,Moving averages display,"Technical calculations",Healthy,Unknown,Low
src/components/ui/StochasticIndicator.tsx,Component,Stochastic oscillator,"Technical calculations",Healthy,Unknown,Low
src/components/ui/MarketSentiment.tsx,Component,Market sentiment analysis,"Sentiment algorithms",Healthy,Unknown,Low
src/components/ui/SignalCard.tsx,Component,Trading signal display,"Signal processing",Healthy,Unknown,Low
src/components/ui/TradingTips.tsx,Component,Educational trading tips,"Content management",Healthy,Unknown,Low
src/components/ui/session/NewSessionManager.tsx,Component,Session creation interface,"Session service",Healthy,Unknown,Medium
src/components/ui/session/SessionCard.tsx,Component,Session display card,"Session data",Healthy,Unknown,Low
src/components/ui/session/SessionForm.tsx,Component,Session configuration form,"Form validation",Healthy,Unknown,Medium
src/components/ui/session/SessionInfo.tsx,Component,Session information display,"Session details",Healthy,Unknown,Low
src/components/ui/session/SessionList.tsx,Component,Session list management,"Session queries",Healthy,Unknown,Medium
src/components/ui/session/SessionManager.tsx,Component,Session CRUD operations,"Session service",Healthy,Unknown,Medium
src/components/ui/session/SessionStatus.tsx,Component,Session status indicator,"Real-time updates",Healthy,Unknown,Low
src/components/ui/NewCandleInput.tsx,Component,Candle data input form,"Validation, processing",Healthy,Unknown,Medium
src/components/ui/CandleInput.tsx,Component,Legacy candle input,"Form handling",Healthy,Unknown,Low
src/components/ui/CandleHistory.tsx,Component,Historical candle display,"Data visualization",Healthy,Unknown,Low
src/components/ui/PredictionDisplay.tsx,Component,Prediction result visualization,"ML predictions",Healthy,Unknown,Medium
src/components/ui/PredictionGenerator.tsx,Component,Prediction generation interface,"ML services",Healthy,Unknown,Medium
src/components/ui/PredictionHistory.tsx,Component,Historical predictions,"Prediction tracking",Healthy,Unknown,Low
src/components/ui/PredictionResults.tsx,Component,Prediction outcome display,"Result analysis",Healthy,Unknown,Medium
src/components/ui/PredictionSettings.tsx,Component,Prediction configuration,"Settings management",Healthy,Unknown,Low
src/components/ui/predictor/PredictionHeader.tsx,Component,Prediction interface header,"UI components",Healthy,Unknown,Low
src/components/ui/predictor/PredictionTabs.tsx,Component,Prediction tab navigation,"Tab management",Needs Fix,Unknown,Medium
src/hooks/useApplicationState.ts,Hook,Main application state logic,"Session, candle operations",Needs Fix,Unknown,High
src/hooks/usePatternDetection.ts,Hook,Pattern detection algorithms,"Pattern detection modules",Needs Fix,Unknown,High
src/hooks/useCandleForm.ts,Hook,Candle input form logic,"Form validation",Healthy,Unknown,Medium
src/hooks/useCandleOperations.ts,Hook,Candle data operations,"Data processing",Healthy,Unknown,Medium
src/hooks/useSessionManager.ts,Hook,Session management logic,"Session service",Healthy,Unknown,High
src/hooks/useSessionState.ts,Hook,Session state management,"State persistence",Healthy,Unknown,Medium
src/hooks/useSessionStats.ts,Hook,Session statistics calculation,"Statistical functions",Healthy,Unknown,Low
src/hooks/useIndicatorData.ts,Hook,Technical indicator calculations,"Mathematical functions",Healthy,Unknown,Medium
src/hooks/usePredictionGeneration.ts,Hook,Prediction generation logic,"ML services",Healthy,Unknown,High
src/hooks/useSignalGeneration.ts,Hook,Trading signal generation,"Signal algorithms",Healthy,Unknown,Medium
src/hooks/useDataExport.ts,Hook,Data export functionality,"File operations",Healthy,Unknown,Low
src/hooks/useErrorHandler.ts,Hook,Error handling logic,"Error management",Healthy,Unknown,Medium
src/hooks/usePerformance.ts,Hook,Performance monitoring,"Performance metrics",Healthy,Unknown,Low
src/hooks/useKeyboardShortcuts.ts,Hook,Keyboard navigation,"Event handling",Healthy,Unknown,Low
src/utils/candleValidation.ts,Utils,Candle data validation,"Validation rules",Healthy,Unknown,Medium
src/utils/dateTimeUtils.ts,Utils,Date and time utilities,"Date processing",Healthy,Unknown,Low
src/utils/validation/candleValidationRules.ts,Utils,Validation rule definitions,"Business logic",Healthy,Unknown,Medium
src/utils/validation/candleValidators.ts,Utils,Validation functions,"Input checking",Healthy,Unknown,Medium
src/utils/validation/inputSanitization.ts,Utils,Input sanitization,"Security functions",Healthy,Unknown,High
src/utils/validation/validationConstants.ts,Utils,Validation constants,"Configuration",Healthy,Unknown,Low
src/integrations/supabase/client.ts,Integration,Supabase client configuration,"Database connection",Healthy,Unknown,High
tailwind.config.ts,Config,Tailwind CSS configuration,"Design system",Healthy,~100,Medium
vite.config.ts,Config,Vite build configuration,"Build optimization",Healthy,~50,Medium
package.json,Config,Project dependencies and scripts,"NPM packages",Read-only,Unknown,High
tsconfig.json,Config,TypeScript configuration,"Type checking",Read-only,Unknown,High
.env.example,Config,Environment variables template,Missing,Missing,0,High
